set_no,name,price_store,price_new,price_used,rating_value,rating_votes,theme_group,theme,subtheme,main_tag,year,volume,weight,piece_cnt,minifig_cnt
70733-1, Blaster Bike,19.99,23,10,5,1,Action/Adventure,Ninjago,Possession,,2015,2301.932,0.32,212,2
70734-1,Master Wu Dragon,39.99,55,35,4.6,5,Action/Adventure,Ninjago,Possession,,2015,5704.788,0.72,575,5
70735-1,Ronin R.E.X.,49.99,49,28,5,1,Action/Adventure,Ninjago,Possession,,2015,9500.652,0.96,547,4
70736-1,Attack of the Morro Dragon,69.99,92,69,5,2,Action/Adventure,Ninjago,Possession,,2015,8984.52,0.99,658,6
70737-1,Titan Mech Battle,59.99,98,57,5,1,Action/Adventure,Ninjago,Possession,,2015,8256.96,0.99,754,5
70738-1,Final Flight of Destiny's Bounty,119.99,120,80,5,2,Action/Adventure,Ninjago,Possession,,2015,19139.652,2.05,1253,9
70739-1,Airjitzu Kai Flyer,9.99,16,7,,,Action/Adventure,Ninjago,Airjitzu,,2015,5527.2,0.14,46,1
70740-1,Airjitzu Jay Flyer,9.99,13,10,5,1,Action/Adventure,Ninjago,Airjitzu,,2015,5527.2,0.14,45,1
70741-1,Airjitzu Cole Flyer,9.99,11,10,3,1,Action/Adventure,Ninjago,Airjitzu,,2015,5527.2,0.14,47,1
70742-1,Airjitzu Zane Flyer,9.99,14,6,,,Action/Adventure,Ninjago,Airjitzu,,2015,5527.2,0.14,42,1
70743-1,Airjitzu Morro Flyer,9.99,16,6,4.3,3,Action/Adventure,Ninjago,Airjitzu,,2015,5527.2,0.14,46,1
70744-1,Airjitzu Wrayth Flyer,9.99,13,5,4,2,Action/Adventure,Ninjago,Airjitzu,,2015,5527.2,0.14,43,1
70745-1,Anacondrai Crusher,19.99,26,11,5,2,Action/Adventure,Ninjago,Tournament of Elements,,2015,2301.932,0.31,219,2
70746-1,Condrai Copter Attack,29.99,30,22,4.3,3,Action/Adventure,Ninjago,Tournament of Elements,,2015,3989.226,0.47,311,3
70747-1,Boulder Blaster,29.99,32,18,5,1,Action/Adventure,Ninjago,Tournament of Elements,,2015,3989.226,0.44,236,3
70748-1,Titanium Dragon,39.99,53,30,4.8,4,Action/Adventure,Ninjago,Tournament of Elements,,2015,5704.788,0.59,360,3
70749-1,Enter the Serpent,59.99,68,48,4.7,3,Action/Adventure,Ninjago,Tournament of Elements,,2015,8256.96,0.88,529,5
70750-1,Ninja DB X,79.99,90,80,4.5,2,Action/Adventure,Ninjago,Tournament of Elements,,2015,11877.84,1.38,756,7
70751-1,Temple of Airjitzu,199.99,237,202,5,2,Action/Adventure,Ninjago,General,,2015,25421.76,2.56,2028,13
70752-1,Jungle Trap,6.99,15,6,4.2,5,Action/Adventure,Ninjago,Tournament of Elements,,2015,791.292,0.08,58,2
